rent_price,location,sq_mt,bedroom_n,bathroom_n
1.050 €/mes,Ciudad Jardín (Distrito Chamartín. Madrid Capital),59 m²,1,1
3.000 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),145 m²,3,2
1.500 €/mes,Castellana (Distrito Salamanca. Madrid Capital),57 m²,2,1
700 €/mes,Ventas (Distrito Ciudad Lineal. Madrid Capital),50 m²,1,1
1.400 €/mes,Castillejos (Distrito Tetuán. Madrid Capital),80 m²,1,1
700 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),70 m²,1,"10
 €/m²"
750 €/mes,Ventas (Distrito Ciudad Lineal. Madrid Capital),47 m²,1,1
3.150 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),150 m²,3,3
1.200 €/mes,Concepción (Distrito Ciudad Lineal. Madrid Capital),83 m²,2,1
650 €/mes,Arapiles (Distrito Chamberí. Madrid Capital),1,,"Avísame si baja





Guardar




Contactar"
3.000 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),115 m²,2,2
3.500 €/mes,Palomas (Distrito Hortaleza. Madrid Capital),342 m²,7,6
900 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),55 m²,3,1
790 €/mes,Las Águilas (Distrito Latina. Madrid Capital),66 m²,3,1
1.000 €/mes,Palacio (Distrito Centro. Madrid Capital),80 m²,1,1
3.500 €/mes,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),400 m²,5,7
850 €/mes,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),60 m²,1,1
900 €/mes,Vallehermoso (Distrito Chamberí. Madrid Capital),60 m²,2,1
1.040 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),70 m²,2,1
2.700 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),274 m²,3,5
750 €/mes,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),65 m²,1,1
2.000 €/mes,Jerónimos (Distrito Retiro. Madrid Capital),100 m²,1,1
650 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),30 m²,1,1
1.200 €/mes,Pacífico (Distrito Retiro. Madrid Capital),93 m²,3,2
1.100 €/mes,Almagro (Distrito Chamberí. Madrid Capital),45 m²,1,1
1.100 €/mes,Lista (Distrito Salamanca. Madrid Capital),51 m²,2,1
2.200 €/mes,Lista (Distrito Salamanca. Madrid Capital),92 m²,2,2
1.600 €/mes,Opañel (Distrito Carabanchel. Madrid Capital),98 m²,3,2
1.100 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),80 m²,2,1
725 €/mes,San Isidro (Distrito Carabanchel. Madrid Capital),50 m²,1,1
750 €/mes,Ciudad Jardín (Distrito Chamartín. Madrid Capital),51 m²,1,1
950 €/mes,Ventas (Distrito Ciudad Lineal. Madrid Capital),119 m²,2,1
790 €/mes,Ríos Rosas (Distrito Chamberí. Madrid Capital),50 m²,2,1
750 €/mes,Pacífico (Distrito Retiro. Madrid Capital),50 m²,2,1
1.150 €/mes,Chopera (Distrito Arganzuela. Madrid Capital),70 m²,3,2
450 €/mes,Abrantes (Distrito Carabanchel. Madrid Capital),22 m²,1,1
600 €/mes,Abrantes (Distrito Carabanchel. Madrid Capital),25 m²,1,"24
 €/m²"
990 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),88 m²,2,2
650 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),35 m²,1,1
2.100 €/mes,Lista (Distrito Salamanca. Madrid Capital),91 m²,2,2
895 €/mes,Castillejos (Distrito Tetuán. Madrid Capital),41 m²,1,1
1.650 €/mes,Trafalgar (Distrito Chamberí. Madrid Capital),106 m²,3,1
2.600 €/mes,Goya (Distrito Salamanca. Madrid Capital),120 m²,2,2
